Product_Description,Product_Type,Sentiment
"friend austin #sxsw, i'll buffalo new #ipad ... there!",6,3
"launch major new social network called #circles, possibly today! {link} #sxsw #smm &gt;&gt;really google? now?",3,1
"apple set 5,000-square-foot temporary store #sxsw sell new ipads, test potential traffic {link}",9,2
many good place racing around #sxsw best fueling great local fare {link},9,2
might need go apple today. think &quot;s&quot; &quot;x&quot; &quot;w&quot; key worn out. #sxsw,2,1
great #sxsw ipad app {link},7,3
"able afford attend #sxsw buy ipad today, consider saving $$$ japan earthquake relief. sayin. #fb",9,2
enjoying #sxsw california (hollywood + silicon valley) meet nyc sunny austin by-the-pool cowboy boot + ipad vibe. #sxswi,9,2
marissa mayer: #google connect #digital &amp; physical world #mobile {link} #sxsw,9,2
heading #pvhouse? first snacker tweet u &amp; find one popchicks #win iphone case! #sxsw,9,2
apple opening pop-up store austin #sxsw (aapl) {link},9,2
"wanting buy #ipad2, temporary #apple store open austin #sxsw - {link}",9,2
thanks love! show u iphone via twitpic we'll share love ;] #zazzlesxsw #sxsw,8,3
"google launch major new social network called circles, possibly today {link} #sxsw (cool)",5,3
pop-up apple store seems pop-up ipad2s. #sxsw,2,1
indie song rock: various artist #sxsw: featured artist - {link} #itunes,9,2
packed. many #apple devices. alarm set 5:15am. see ya'll #sxsw. psyched meet (finally) many guys!,2,3
"pen paper, iphone, &amp; ipad immediate use session medium analytics. need hit #sxsw wall.",9,2
discussing pubsubhubbub: {link} #fsw #sxsw,9,2
sounds...fantastic. google party...awesome. #sxsw,9,3
google circle take facebook? {link} #circles #sxsw,9,2
google party. photo booth fun. #sxsw {link},3,3
wonder many #ipad2's #apple sell #sxsw. {link},9,2
quantter launching iphone app soon. we're participating launchrock comp #sxsw {link},9,2
download free sampler band playing #sxsw here: {link},9,2
check designing ipad interface - new navigation schema sxsw. {link} #sxsw #uxdes,9,2
"ûï@mention google launch major new social network called circles, possibly today {link} #sxswû #hnwsxsw",9,2
keep new #japan quake iphone #sxsw - nhk world tv live {link},8,3
need buy ipad2 i'm austin #sxsw. sure i'll need q austin apple store?,6,3
ipad success apple popup store austin! #apple #sxsw {link},6,3
"asked, &quot;why should(n't) get ipad 2?,&quot; earlier today. far people getting for. thoughts? #sxsw #sxswi",9,2
line around austin apple pop-up store? unbelievable. #sxsw #technology #junkies,9,2
building android io applications? we've got tool - #sxsw ballroom 11:00,9,2
&quot;south by&quot; drive-by baby!! adventure!! #sxsw #ipad #fb {link},9,2
guy next carefully studying &quot;best party #sxsw 11&quot; spreadsheet made ipad. ipad 1. n00b!,9,2
special apple store: opening 6th congress sxsw &amp; ipad launch. www.apple.com/retail/thedomain/ #apple #ipad2 #sxsw #fb,9,2
"restored apple made smart phone, i'm unleash hell #sxsw.",2,3
ûïline moving fast! seen two impressive line since i'm #sxsw one apple store &amp; party,9,2
mike tyson appears #sxsw promote iphone/ipad game {link} #seo #sem #games #miketyson #topnews,9,2
def could use ipad #sxsw today. tweeting via iphone sorta pretty much sux.,8,1
first tweet plane: feedback #gogo. registration via fb connect twitter? paypal google integration pay you? #sxsw,9,2
"#sxsw come #privacybootcamp startup google, facebook acc 9abc. starting now. #sxswi",9,2
"ipad, tablet, etc aiding greater adoption mobile device screen size larger #mobilefarm #sxsw",6,3
#lonelyplanet #austin iphone app (free!) godsend. gps-aware map city without need 3g wifi! #sxsw,7,3
"download day: lonely planet austin, free limited time {link} #iphone",9,2
ûï@mention pop apple store austin still ipad2 stock? #lazyweb #sxswû,9,2
heading free google-sponsored happy hour semantic web austin fogo de chìáo #sxsw,3,3
like download 'freak jet' iphone. hilarious. see i'm learning new stuff #sxsw,7,3
domo io android got released! #domo #tonchidot #boom #sxsw,9,2
"hey #sxsw, try early iphone/android beta hitchery let u know think! {link}",9,2
"apple like pay them. long gadget liked many, closed system work. #pnid #sxsw",9,2
kick #sxswi giving away ipad 2... visit fb page enter: {link} #sxsw,6,3
"yes, google party *does* glowing cups! #sxsw {link}",3,3
thanks apple store #sxsw retweet.,2,3
"google launch major new social network called circles, possibly today {link} #sxsw",9,2
#sxsw 2011: novelty #ipad news apps fade fast among digital delegate {link},9,2
#google real time location data layer google earth give breathtaking visual data #sxsw,5,3
think #sxsw taken upon make clear gen iphone ain't gonna cut anymore.,9,1
should/shouldn't get ipad 2? discus :-) #sxsw,9,2
essential apps #sxsw beyond | underwire | wired.com {link} #socialmedia #iphone #android,7,3
would (via apple's opened pop-up store austin nerd #sxsw get new ipads. {link} #cnet,9,2
40% google map use mobile #sxsw,9,2
check out! great &amp; v. effective enviro app : bin - {link} (iphone 3gs+) #sxsw #sxswi #greatergood,7,3
"google prefers launch hyped new social feature meh, bang? via tc {link} #sxsw",3,1
free &quot;payments #android platform&quot; webinar march 30th - register today! {link} #sxsw ^mr,9,2
register private beta win apple tv #sxsw! visit {link} detail,9,2
hhaha intimidated iphone app developer meetup leave. #sxsw,7,3
line might started bit slow 4:45pm easily wrapped around ... #ipad #sxsw #gadgets {link},9,2
know this: google developer day sxsw {link} #austin #sxsw,9,2
whoa. hang on. saw someone without iphone!! #sxsw,9,2
early purchase #ipad awesome sweepstakes giveaway game #sxsw! detail coming soon!,6,3
leaving bag home today; traveling light ipad hand. really need lug around impedimenta. #sxsw,6,3
apple opening temp store 6th congress downtown austin ipad release sxsw #sxsw,9,2
"#sxsw tradeshow floor: engage w/ multi-touch interactive wall, take part augmented reality 3d enter win ipad.",9,2
guy get tattooed company #logo win ipad ... {link} #sxsw,6,3
google's marissa mayer: &quot;the mobile phone cursor connects physical digital worlds.&quot; #sxsw {link},9,2
q&amp;a google's &amp; bing's ranking - #sxsw session mon 12:30pm {link},9,2
#iphone #android apps keep grooving #sxsw {link},7,3
line ipad #sxsw. {link},9,2
nice find rsq's {link} #sxsw #ipad #app,7,3
"true! best hungry #sxsw tip: mekong river, great vietnamese {link} 6th st. till 11pm via",9,2
google get social texas? {link} #chrismessina #facebook #google #googlecircles #sxsw #twitter,9,2
#fsw #sxsw wanted know spec parsing ajax link {link},9,2
"happy pi day! (if google launch circle pi day, exist) #sxsw",9,2
"#sxsw social hackathon session google, bing, webtrends chzbrgr. going figure mpls/st paul #bolinsxsw",9,2
look like may able fork cash new #ipad2 ##sxsw {link},9,2
love it. #sxsw: &quot;apple come cool technology one's ever heard go conferences&quot;,2,3
readwriteweb reporting google might launch new social network #sxsw today -- {link},9,2
marissa meyer demoing google augmented reality #sxsw {link},9,2
rumor: apple opening temporary store downtown austin #sxsw ipad launch bit.ly/g03mzb,9,2
win #openbeta6 ipad #sxsw panel {link} today 11! #usguys cc #dgtltribe #sxswbuffalo,9,2
msc_page: guy get tattoo sxsw could win free ipad2 {link} #sxsw #tattoo #ipadû_ {link} #allshare,6,2
"left #sxsw tradeshow demo google theatre. ok, get it. see presenter using it.",5,3
come ladies! i'll austin convention center w/ showing iphone game. #sxsw,9,3
#4sq see facebook google competition via #checkins #sxsw,9,2
"ahhh, darn :( according google confirmed launching #sxsw, all.",5,1
"wow&lt;&lt;ûï@mention google launch major new social network called circles, possibly today {link} #sxswû",5,3
apple selling ipad #sxsw. california great building cult followings. {link},9,2
"even begins, apple win #sxsw {link} via",2,3
threw together keep ipad attempt keep hour stuff weekend. #sxsw {link},6,3
platform concertgoers launch #android #app time #sxsw {link} via #music #events #liveshows,9,2
itunes #free #sxsw sampler featuring selection year's performers. {link},9,2
win awesome ipad quibids custom case catch #sxsw wearing openbeta vip badge!,6,3
"lose hour tonight. #sxsw attendee blame microsoft, apple get credit fixing christmas.",2,3
1st injury #sxsw? bicycle + stupid + concrete = ouch. {link} fortunately still able type iphone. schedule!,9,2
beluga iphone app highlight #sxsw. excellent way coordinate #sxsw4japan relief effort.,7,3
"bored #sxsw, try iphone app: {link}",7,3
thanks making great products! great making #sxsw party podcasts {link},9,2
third time charm?&gt;&gt;&gt; #google launch new social network #sxsw? - cnet news {link},3,3
ten percent crowd &quot;designing ipad interfaces&quot; already ipad2. #sxsw,9,2
"aight, here's wed + thurs list #sxsw possibilities: {link} hope see twitter bud + atx week!",9,2
anyone know android devs #sxsw? let know - there's startup need help.,9,2
ha! rumor: apple opening temporary store downtown austin #sxsw &amp; ipad launch {link},9,2
ûïthe classiest fascist company existenceû - kara swisher #sxsw #apple,2,1
abt surprise customer waiting line apple store austin #ipad ! #sxsw #cbatsxsw / awesome,6,3
temp apple store 6th st austin #sxsw closed night &quot;they're stuff' say austin cop barring door!,2,1
enter contest maybe win ipad #sxsw,6,3
#sxsw apptastic! {link} #android #apps #developers #ios #iphone #smartphones,9,2
"google places, one check to? need check-in aggregator! #sxsw #sxswedu",9,2
"i'll use ipad someone give me. otherwise, iphone actually task #sxsw",8,3
"google launch major new social network called circles, possibly today {link} #sxsw",9,2
love #sxsw alt universe everyone us apple product fastest way reach someone,2,3
google announces check-ins: sxsw location-based geo-fencing application - {link} #ireport #wssxsw #sxsw #scrm #sm #marketing,9,2
"hope may someday keynote swsx! bored keynote #sxsw, ipad {link}",6,3
"grab #betainvites #sxsw! new android camera, raise $1.1m valley player bit.ly/ea1zgd /via",0,3
meet guy bought first #ipad #sxsw #apple pop-upåêstore {link} via,9,2
le hour announce detail ipad giveaway! #sxsw #sxswi,6,3
love google analytics! thanks follower #sxsw took time check new post!,5,3
"come party w/ google tonight #sxsw: {link} bands, food, art, ice cream, nifty interactive maps!",9,2
google collecting data type request they've receiving government globally - #privacybootcamp #sxsw,9,2
forget disneyland... apple pop-up store austin happiest place earth #sxsw,2,3
google preview updated blogger interface #sxsw {link},5,3
#sxsw -- &quot;the shape city expand/contract real time data&quot;. google developer encourages audience google &quot;mapping japan&quot;.,9,2
takin' #galaxys4g test drive #sxsw n c #tmobile #4g hold packed downtown #atx #austintx #samsunggalaxys #android,9,2
enjoying resurgence ûï@mention i'll austin convention center today w/ fam... showing new iphone game. #sxswû,9,2
help decide panel go next: future social photography google doodles: burning man pac-man beyond. #sxsw,9,2
"google launch major new social network called circles,rww.to/f6bcet #sxsw",9,2
someone going ask bing copying google's search results? #qagb #sxsw #seo,9,2
"google recreated code pac-man doodle, original bug included. #sxsw #googledoodles",3,2
nice iphone app behaving today. crash yesterday ridiculous. #sxsw,7,3
"checking ipad #sxsw pop-up store (@mention apple store, sxsw w/ others) {link}",6,3
apple store downtown austin open til midnight. #sxsw,9,2
#sxsw rock casbah #partylikeits1986 digital right {link},9,2
expect mob scene w 6th st &amp; congress {link} #sxsw #ipad2,9,2
"even begins, apple winsåê#sxsw, {link} -&gt; gonna get sum! via",2,3
bout time! new #ubersocial #iphone app store includes uberguide #sxsw sponsored (cont) {link},7,3
"tristan h, apture: fast &amp; iterative w news content mean google find first. #sxsw #hacknews #drumbeat #mojo",9,2
"added linkedin =) - hootsuite mobile #sxsw ~ update iphone, blackberry &amp; android {link}",9,2
want win ticket (1) #sxsw party? rule simple! {link} | android unite - android news mass #android,9,2
"ok,i seen two impressive line since i'm #sxsw one apple store yesterday. &amp; party cc",2,3
two ipad observation #sxsw. vast majority people using them. seen lot 2 today. look nice. #appletakingoverworld,6,3
say feel sexier us product:-) #sxsw-influence,9,2
usa today ipad: make good use digital shortcut still looking like newspaper. #tapworthy #sxsw,6,3
took day (unplugged) visit family. anyone #sxsw highlights? google reader bursting seams!,9,2
compiling #sxsw list one google doc taking lot longer thought... many parties. many good musicians.,5,1
v v #sxsw. thing heating up! &quot;google offer check-in reward &amp; titles&quot; {link} - #lbs,3,3
ipad purchased. sunny. tan. 4square. far good #sxsw.,6,3
grateful aclu/google earplug right #sxsw,5,3
headed #sxsw want share/gather contact info? {link} turn iphone a... {link},9,2
"line forming popup apple store, sign apple yet. #sxsw {link}",9,2
-&gt; new #ubersocial #iphone app store includes uberguide #sxsw (cont) {link},9,3
smart #hollergram ipad app #sxsw! {link} (may leave vuvuzela home now),7,3
google heat map global searches. #sxsw #hotpot {link},9,2
"slide #sxsw talk, &quot;ipad design headache &quot; {link} #tapworthy . really interesting designer well.",6,1
anyone know store #sxsw still ipad 2's stock?,6,3
arrived #sxsw issue resolved. dying use iphone app cant login. rt@mention we're,7,2
watching covering ipad launch live apple pop-up store austin #sxsw {link},9,2
#ipad2 live unboxing front #sxsw apple store [video] {link},9,2
#winning picture #android #google #sxsw {link},0,3
marissa mayer: google connect digital &amp; physical world mobile - {link} #sxsw,3,3
.@mention &quot;we getting feedback #sxsw group &amp; pushed android fix grilled cheese stand yesterday.&quot;,9,2
google launch social network #sxsw today?,9,2
"google launch major new social network called circles, possibly today {link} #circles #sxsw",9,2
engaging #sxsw filter iphone/ipod twitter app. #youkidshavefun,9,2
apple open 'pop up' temporary store #sxsw ipad launch {link} via,9,2
check route {link} ; rsvp -&gt; https://www.facebook.com/event.php?eid=141164002609303 #sxswi #sxsw,9,2
saw lax i'm heading #sxsw wife iphone ipad download app #freespeech,7,3
"white #ipad2 64gig wifi available #austin #sxsw #apple popup store right now, wait!",9,3
rumor #sxsw--could true? - google launching secret new social network called &quot;circles&quot; {link},9,2
"#ipad lounge: recharge, coffee, h2o, ipad art show-free, daily #sxsw e 8th congress åç austin detail {link}",9,2
"ûï@mention ipad sold out, 70% went new buyer [report] - {link} #sxsw #socialmedia #tech #ipad2 #mediaû",6,3
dl #calyp app get #calyp casa #sxsw free mobile app available itunes app store &amp; android market. see u there!,9,2
apple opening pop-up store austin #sxsw {link} (via,9,2
play gun bros xperia play google league event parking lot #teamandroid event #xperiaplay sunday #sxsw,9,2
knew plied beer stogy last night i'd weasel way team android party tonight. #success #sxsw.,0,3
put ipad idiot! #smcomedyfyeah #sxsw,6,1
#sxsw folk looking ipad 2's: pop-up apple store still stock (a colleague picked one up) #protip,9,2
contest juan winning last commuter case #iphone ! $50 gift card left! #cbatsxsw #sxsw,9,2
"someone started #austin group google groups, pre-#sxsw. great idea",5,3
"what, *the* guy kawasaki? former apple evangelist? wanw! #sxsw",9,2
kind funny/sad ipad release line longer party line (i saw) #sxsw last night. #sheeple,6,3
#sxsw? forget come #privacybootcamp startup @aclu acc 9abc 3:30!,9,2
stuck inthat long a$$ line apple store? come check u out! next block across driskill! #apple #sxsw #wam,9,2
record #sxsw experience iphone. {link},9,2
radio 3.0 looking new band radio show. listen: {link} {link} #nowplaying #newmusic #sxsw pls,9,2
it! find hottest spot w/ hot spot #sxsw app #wp7 {link} iphone {link},9,3
hello gigantic line outside google v bing seo session. #sxsw #sxswi,9,2
"hey, i'm line! #sxsw #apple",9,2
listening official #sxsw mixtape: {link},9,2
gsd&amp;m google.....sitting tree {link} #sxsw #gsdm,9,2
lined #sxsw apple pop store,9,2
[softlayer blog] softlayer #sxsw server challenge - video - {link} äá tried yet? ipad could yours!,6,3
success! blah panel found open outlet charge old ipad. #sxsw #fb,9,2
"google launch major new social network called circles, possibly today (updated) #sxsw {link}",9,2
looking forward hearing google's present today #sxsw,3,3
"&quot;omg i'm gonna miss panel #sxsw standing line panel playing new ipad, it'll worth it. #ponies&quot;",6,3
"interview w marissa mayer #sxsw google 3.0, working larry different working eric {link}",9,2
wow. shakespeare's pub 6th st. here's delete button iphone video camera. #sxsw,8,3
#sxsw pepsi max marketing street team shown popup apple store line handing drink &amp; tshirts. {link},9,2
"hiring marketers, designers, creatives, social medium pros... come see #aquent booth #sxsw trade show. might win ipad",9,2
#sxsw folk pretty kool-aid-drinking bunch. think android tablet hardcore linux nerds. let know,9,2
#sxsw line outside apple pop- store sixth &amp; congress,9,2
genius move apple open temp. store downtown austin #sxsw: {link} /via #ipad2,2,3
blogger due update... google take action showcase new design #sxsw {link},3,3
shout lady holding ipad 2's free #sxsw show take photo sipping free beer. /cc:,6,3
"#sxsw, meet author, host android devs, sat. 12:30pm, hilton room 615ab.",9,2
"marissa mayer: google map better customer service, quicker responses. #sxsw #fh",5,1
listening discus new interaction paradigm designing ipad #uxdes #sxsw,9,2
i'm sure {link} double rainbow kind day right now. #google #sxsw,9,2
heading austin #sxsw? austin guide iphone free limited time {link} #lp #travel,9,2
recount batshit insanity doubling &quot;creativity&quot; ensures &quot;don't suck&quot;. google 'michaels room groupon' #sxsw,9,2
"midday, iphone mid-battery. outlet, blocked immobile booth, serf purpose taunt me. #sxsw {link}",8,1
"#sxsw #macallan formula successful day sxsw - good sessions, ipad, glass macallan single malt. {link}",6,3
"sxsw, apple school marketing experts: {link} via #sxsw #apple #marketing",2,3
"hey roll tractor trailer 2, full ipads #sxsw, bet would sell entire inventory out! #justsaying",6,3
shocked see google showcasing blogger #sxsw - thought completely forgot service - me?,9,3
anyone attending google &amp; aclu party sxsw? could plz pictures? thanks! #sxsw,9,2
waiting line ipad 2. said may left...crossing fingers. #sxsw,6,3
"time #sxsw, nfc enabled google place door sticker! {link}",9,2
"ipad thing - addition to, place print - cut #sxsw b.s. #newsapps panel",9,2
#sxsw conf every people mac ipad (including me). happened pc? becoming obsolete?,9,2
david carr (nyt) austin giving drunken interview cnn. want app transport around nyc sits ipad #sxsw,9,2
"damn! apple know like other: even begins, apple winsåêsxsw {link} via #sxsw",2,3
go without saying.... google bread going amazing!!!! #sxsw #googlebread,3,3
"#sxsw tradeshow floor: engage w/ multi-touch interactive wall, take part augmented reality 3d enter win ipad.",9,2
every outlet bar iphone charger it. #sxsw (@mention driskill hotel bar w/ others) [pic]: {link},9,2
google saving user year time gps navigation using alternate route w traffic #sxsw,3,3
"get hot! latest version whrrl available today android, iphone - blackberry! whrrl blackberry! :-) #sxsw",1,3
people think rumored &quot;social networking&quot; program #google called #circles. late game? #sxsw,9,2
popup store de gadget da apple #sxsw {link},9,2
{link} #tc #google #sxsw marissa mayer: 40% google map usage mobile (and million... {link},9,2
"google art project - like street view, except art museum around world. incl. billion pixel image starry night. dang! #sxsw",5,3
"3g sketchy austin #sxsw, yet still work iphone. know why, sure need to, love it.",8,3
"hootsuite mobile #sxsw ~ update iphone, blackberry &amp; android {link}",9,2
official: people using ipad take photo look weird. #sxsw,6,1
ipad2's left apple store #sxsw? anyone know? :),9,2
great blog latest news #sxsw ... like opening #apple store? {link} #sxsw2011,2,3
shut. up. rumor: apple opening temp store downtown austin #sxsw &amp; ipad launch. {link},2,3
"flipboard's next platform iphone, ceo say #sxsw",9,2
wanna 5'6&quot; chinese dude bff? bring effen iphone charger #sxsw,9,2
interesting. apple open pop-up shop sxsw {link} #sxsw #sxswi #popupshop #apple,2,3
"check {link} - cool geo-location app #iphone, mixing music party #sxsw #maps i'm going next year...",7,3
#iphone price point $49.99 make even explosion? carrier work plans? #sxsw #bolinsxsw,9,2
"google launch major new social network called circles, possibly today #sxsw {link}",5,3
apple set temporary austin store serve horde ipad purchaser #sxsw {link},9,2
"kinda giddy #theindustryparty #google (&amp; more) #gsdm. finally, fun come u non #swsurrogates. #sxsw #notpouting",3,3
reason 19: keep parakeet employed! {link} keep track lady #sxsw {link},9,2
"apple popup store! #sxsw apple store, sxsw {link} #photo",2,2
wonder #google place hotpot impact usage thing like #yelp. #marissagoogle #sxsw,9,2
"#sxsw quote day ipad interface design: &quot;...if relatable, discoverable.&quot; #ipad #digital",9,2
"google doodle aim bring people together socially, promote communal experience. #sxsw #googledoodles",9,2
playing &quot;people people&quot; google #sxsw party!!! depeche mode ftw!!!,3,3
awesome free iphone app keeping track friend meeting finding people #sxsw {link},7,3
"tweet register exclusive pass events, party + ipad #sxsw liberty and/or free #sxswpass",9,2
google circles. new social networking platform. {link} new facebook? #sxsw,9,2
lot google effort helping japan! many global issues. :) wtf w/people #sxsw,3,3
line google bing pagerank session #crazy #sxsw,9,2
porting everything new ipad2 head #sxsw sunday. syncing 3k song take while. #apple,6,3
attending tv + new medium = formula success #sxsw. seeing lot ipad 2's around here.,6,3
arrived early get prime seat presentation google's marissa mayer #sxsw -kek,9,2
know lightbox android app #sxsw #hhrs,9,2
"google launch major new social network called circles, possibly today {link} via #sxsw #screenfuture",9,2
walked past supposed #apple #sxsw temp store downstairs apple cult outside taking photo iphones.,2,1
google launching secret new social network called &quot;circles&quot; #sxsw,9,2
night ending fireside pictionary w. ipad. #sxsw #werdorks,9,2
sound like buzz rebranded w/an inner circle google launch new social network: &quot;circles&quot; {link} #sxsw,3,3
"google launch major new social network called circles, possibly today {link} #sxsw&quot;",9,2
"droid? surprised. spotted #sxsw: table three people phones, ipad macbook out. #gadgetoverload",9,2
tomorrow go back apple store... *sigh* #sxsw,2,1
medium circus: guy walk apple's popup store #sxsw 1st #ipad2 now. austin 6th &amp; congress. {link},9,2
"google launch major new social network called circles, possibly today sxsw: {link} #sxsw #nfusion",9,2
"÷¼ happy woman's day! make love, fuss! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter",9,2
"google launch major new social network called circles, possibly today {link} #sxsw #pakistan #cwc2011",5,3
#ipad take #sxsw [video] /by {link},9,2
get badge. find food drink. figure iphone roaming #sxsw. unpack. priority,8,1
partying #android #sxsw lustre pearl {link},0,3
#sxsw ipad store sold everything except 64gig wifi white,6,1
love it. #sxsw: &quot;apple come cool technology one's ever heard go conferences&quot;,2,3
"ûï@mention &quot;google tweet&quot; new &quot;think speak.&quot; - mark belinsky, #911tweets panel #sxsw.û",3,3
interesting tidbit: apple designed ipad case designing actual device. #sxsw,6,3
"#notatsxsw (or #sxsw), here's {link} free download meet nearby pep",9,2
"looking cool new #iphone twitter app track action #sxsw week, check {link} #tweetignite",9,2
google's marissa mayer: &quot;the mobile phone cursor connects physical digital worlds.&quot; #sxsw,9,2
giving added value location based service need battle check-in fatigue #google #pnid #sxsw,9,2
google reveal new social network called circles? #google #facebook #twitter #sxsw {link} (via,9,2
buying new ipad's #geekdate #apple #sxsw #ipad2,6,3
apple open #popup shop #sxsw. {link} via #in #brand #values #design #innovation,9,2
ipad rivals: stack {link} #bnet #biz #ipad2 #apple #sxsw #ipad #tablet #xoom #tech #laptop #pics #sale,9,2
"someone austin let borrow iphone charger short time, heart long time. #sxsw",9,2
"google &quot;product gatekeeper&quot; marissa mayer location-based &quot;fast, fun future&quot; {link} (ht #sxsw",3,3
"per rumor, google may preview big social strategy '80s-themed costume party #sxsw. yep. {link} #cnet",9,2
instagram photo iamtimbaker: google's 1980's #sxsw party {link},9,2
checking q&amp;a google &amp; bing website ranking #sxsw #qagb,9,2
"gearing make splash, launch &quot;groupon living social-type&quot; reward #sxsw {link}",9,2
even security guard popup apple store austin love new ipad #sxsw {link},6,3
epic. there's one guy waiting line ipad austin sxsw. {link} #sxsw #ipad #ipad2,9,2
finally picture! apple open pop-up shop sxsw [report] - {link} #sxsw,9,2
...and seems holding well. surprisingly. big event! #sxsw #lxh #google,9,2
looking forward delicious t-mobile 4g austin iphone user struggle anything. #sxsw,8,1
#sxsw anyone need iphone cable extra - tweet ;),9,2
one lone dude awaits ipad appleûªs sxsw store {link} #apple #ipad2 #sxsw #tablets,9,2
"use question/answer, ask/receive kind model ipad app design. give take. entice ask more. #tapworthy #sxsw",9,2
skore &gt; heard apple's pop-up store downtown austin? pic already gowalla: {link} #sxsw #ipad2,9,2
(via #sxsw 2011: #google #bing smackdown bloody banality {link},9,2
2nd place fandango karaoke. 1st prize yr fandango tkts - useless canada. 2nd prize *is* useful: ipad! #sxsw,6,3
line crazy long #sxsw apple store #ipad2,9,2
"art #ipad view daily #sxsw + free coffee, idevice recharging åç austin detail {link}",9,2
"mashable talk line takers, many spent better part ... #ipad #sxsw #gadgets {link}",9,2
i'm headed #sxsw hear talk integrated social network dynamic team synergy. i've got ipad ready go.,6,3
"i'd love google said, &quot;why want know?&quot; #sxsw",9,2
apple congress. nice. apple set open popup shop core sxsw action {link} #sxsw #apple,9,2
"google launch new social network circles, linking u closely peep u connect w/most. possibly today #sxsw!",9,2
startup talking captive audience apple store line. smart idea. it? #sxsw,9,2
"ever seen someone pay guy wait line apple device? yeah, that. #lame #sxsw",9,2
